# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
shou jiang dian li 	授獎典禮	c=0 d=0.026054 t=12715
shou kuan 	收款	c=3 d=0.822835 t=12715
shou mai 	售賣	c=1 d=1.84614e-07 t=12715
shou ming 	壽命	c=1 d=0.000508014 t=12715
shou qian 	收錢	c=1 d=5.83145e-09 t=12715
shou ru 	收入	c=1 d=1.9603e-07 t=12715
shou shang 	受傷	c=1 d=1 t=10412
shou shang 	手上	c=1 d=1 t=10415
shou shui 	收稅	c=1 d=1.98992e-07 t=12715
shu 	書	c=1 d=0.315058 t=12715
shu 	舒	c=1 d=0.798516 t=12715
shu 	輸	c=3 d=0.868198 t=12715
shu biao dian 	鼠標墊	c=1 d=0.0665368 t=12715
shu fu 	舒服	c=1 d=4.75139e-11 t=12715
shu ji 	書籍	c=1 d=0.323033 t=12715
shu jia 	暑假	c=1 d=1 t=11171
shu ju 	數據	c=3 d=0.000441647 t=12715
shu le 	輸了	c=1 d=1 t=10435
shu pai 	豎排	c=1 d=0.985112 t=12715
shu ru 	輸入	c=19 d=2.02087 t=12715
shu ru fa 	輸入法	c=33 d=5.36265 t=12715
shu sheng 	書生	c=0 d=0.0268474 t=12715
shu xu guan 	鼠鬚管	c=8 d=1.27899 t=12715
shu xu guan shu ru fa 	鼠鬚管輸入法	c=1 d=4.69356e-14 t=12715
shu xue 	數學	c=5 d=1.02918 t=12715
shu xue fu hao 	數學符號	c=1 d=0.131336 t=12715
shu xue gui na fa 	數學歸納法	c=1 d=1 t=10033
shu zi 	數字	c=1 d=0.00631391 t=12715
shu zi qian ming 	數字簽名	c=1 d=5.40917e-07 t=12715
shuang 	爽	c=0 d=0.0271173 t=12715
shuang chong 	雙重	c=2 d=0.00310021 t=12715
shuang chong fou ding 	雙重否定	c=1 d=0.00264523 t=12715
shuang mian 	雙面	c=1 d=0.000111666 t=12715
shuang pin 	雙拼	c=1 d=0.843665 t=12715
shui 	睡	c=1 d=0.0215456 t=12715
shui dao 	睡到	c=1 d=0.196912 t=12715
shui de 	睡得	c=1 d=3.01399e-09 t=12715
shui de 	誰的	c=1 d=1 t=11298
shui dian 	水電	c=1 d=1 t=11578
shui jiao 	睡覺	c=1 d=5.23575e-06 t=12715
shui mian 	睡眠	c=2 d=9.69741e-06 t=12715
shui shui 	睡睡	c=0 d=0.0215456 t=12715
shui shui shui 	睡睡睡	c=1 d=0.216536 t=12715
shui shuo 	誰說	c=1 d=2.27793e-09 t=12715
shun li 	順利	c=1 d=1 t=10365
shun qi zi ran 	順其自然	c=1 d=9.2136e-08 t=12715
shuo 	說	c=45 d=1.01195 t=12715
shuo bai 	說白	c=1 d=0.0173355 t=12715
shuo bei ai er lan 	說北愛爾蘭	c=1 d=0.017249 t=12715
shuo bu ding 	說不定	c=2 d=0.0139818 t=12715
shuo dao di 	說到底	c=1 d=5.42318e-08 t=12715
shuo fu 	說服	c=2 d=3.51319e-10 t=12715
shuo guo 	說過	c=1 d=1 t=11199
shuo la 	說啦	c=1 d=0.486752 t=12715
shuo ming 	說明	c=2 d=0.000239969 t=12715
shuo shi 	碩士	c=2 d=1.9802 t=10309
shuo shi 	說是	c=1 d=1 t=10304
si fang 	四方	c=5 d=2.18612 t=12223
si ge ren 	四個人	c=2 d=1.97531 t=12325
si hu 	似乎	c=2 d=2.68652e-07 t=12715
si hua 	絲滑	c=3 d=0.0648744 t=12715
si hua qiao ke li 	絲滑巧克力	c=1 d=1 t=12173
si ji 	司機	c=1 d=1.71717e-08 t=12715
si ji dou fu 	四季豆腐	c=0 d=0.1 t=10012
si kao 	思考	c=2 d=0.00737418 t=12715
si ke da 	斯柯達	c=0 d=0.1 t=10012
si xiang 	思想	c=2 d=1.75578 t=11323
si zhong 	四種	c=1 d=0.559898 t=12715
song 	送	c=1 d=1 t=10380
song da 	送達	c=1 d=0.0051953 t=12715
song xia wen tong zi 	松下問童子	c=1 d=0.481909 t=12715
sou 	搜	c=1 d=1.21321e-09 t=12715
sou dao 	搜到	c=1 d=1.28822e-09 t=12715
sou gou 	搜狗	c=1 d=0.895834 t=12715
sou yi 	搜一	c=1 d=2.32434e-11 t=12715
su 	蘇	c=1 d=2.65252e-06 t=12715
su liao dai 	塑料袋	c=0 d=0.0257947 t=12715
su she 	宿舍	c=2 d=1.00116 t=12617
su zhou 	蘇州	c=2 d=5.97917e-08 t=12715
suan 	算	c=5 d=0.0427415 t=12715
suan a 	算啊	c=1 d=5.93692e-14 t=12715
suan la 	算啦	c=1 d=4.47545e-13 t=12715
suan le 	算了	c=8 d=0.941595 t=12715
suan ni 	算你	c=1 d=9.80699e-07 t=12715
suan shi 	算是	c=2 d=2.82368e-09 t=12715
suan suan 	算算	c=0 d=0.0427415 t=12715
suan suan suan 	算算算	c=3 d=0.429558 t=12715
sui 	歲	c=0 d=0.0148822 t=12715
sui bian 	隨便	c=1 d=0.0149569 t=12715
sui bian xie 	歲編寫	c=1 d=0.149569 t=12715
sui bian xie 	隨便寫	c=1 d=0.150318 t=12715
sui ran 	雖然	c=2 d=0.0300467 t=12715
sui shen 	隨身	c=3 d=7.31423e-11 t=12715
sui shi 	隨時	c=1 d=1.30073e-05 t=12715
suo 	縮	c=1 d=4.02799e-09 t=12715
suo 	鎖	c=2 d=3.94022e-06 t=12715
suo xie 	縮寫	c=1 d=0.0031354 t=12715
suo yi 	所以	c=16 d=0.79816 t=12715
suo yo 	鎖喲	c=1 d=0.00252883 t=12715
suo you 	所有	c=13 d=0.349773 t=12715
ta 	他	c=28 d=2.50872 t=12715
ta 	她	c=23 d=0.85361 t=12715
ta 	它	c=48 d=2.93701 t=12715
ta men 	他們	c=10 d=0.355226 t=12715
ta men 	她們	c=4 d=0.582748 t=12715
ta men 	它們	c=5 d=0.265792 t=12715
ta shuo 	他說	c=1 d=1 t=12384
tai 	太	c=5 d=0.631795 t=12715
tai duo 	太多	c=1 d=7.50711e-10 t=12715
tai er 	胎兒	c=0 d=0.1 t=9145
tai ji de 	太記得	c=1 d=0.191092 t=12715
tai ke pa 	太可怕	c=2 d=0.29472 t=12715
tai shuai 	太帥	c=1 d=1 t=12687
tai yuan 	太遠	c=2 d=0.000754089 t=12715
tan 	談	c=1 d=1 t=8892
tan shui 	碳水	c=1 d=2.99846e-07 t=12715
tan xiao yang 	檀晓洋	c=1 d=0.932394 t=12715
tang 	趟	c=2 d=1.97531 t=12207
tang shang 	燙傷	c=1 d=1.52668e-07 t=12715
tang yuan 	糖原	c=1 d=2.00473e-06 t=12715
tao 	套	c=5 d=1.95416 t=12513
tao bao 	淘寶	c=2 d=3.36331e-05 t=12715
tao guan 	套管	c=1 d=1 t=10420
tao jia 	饕家	c=1 d=0.980199 t=12715
tao lun 	討論	c=4 d=0.937334 t=12715
tao lun yi xia 	討論一下	c=1 d=1 t=9318
tao yan 	討厭	c=1 d=1.48627e-06 t=12715
tao yan de ren 	討厭的人	c=1 d=1.36412e-06 t=12715
te bie 	特別	c=3 d=1.67016e-05 t=12715
te ding 	特定	c=2 d=0.860661 t=12715
te shu 	特殊	c=1 d=0.371577 t=12715
ti 	提	c=1 d=2.07148e-09 t=12715
ti 	題	c=0 d=0.00158434 t=12715
ti chu 	提出	c=2 d=0.0234019 t=12715
ti gong 	提供	c=9 d=0.80089 t=12715
ti huan 	替換	c=2 d=0.00257889 t=12715
ti huan shang 	替換上	c=1 d=0.000629868 t=12715
ti huan wei 	替換爲	c=1 d=0.00436124 t=12715
ti jiao 	提交	c=2 d=0.164903 t=12715
ti mu 	題目	c=1 d=1 t=9923
ti na 	提拿	c=0 d=2.38358e-14 t=12715
ti qian 	提前	c=1 d=1 t=11417
ti sheng 	提升	c=3 d=2.20203e-07 t=12715
ti shi 	提示	c=1 d=6.49161e-06 t=12715
ti xian 	體現	c=1 d=0.67032 t=12715
ti yi 	提議	c=1 d=0.690734 t=12715
ti yu guan 	體育館	c=1 d=0.852144 t=12715
tian 	填	c=6 d=2.9279e-06 t=12715
tian 	天	c=7 d=0.571209 t=12715
tian biao 	填表	c=1 d=3.94957e-13 t=12715
tian de 	填的	c=1 d=1.55376e-08 t=12715
tian jia 	添加	c=5 d=0.844277 t=12715
tian le 	填了	c=1 d=0.0746459 t=12715
tian qi 	天氣	c=1 d=0.375311 t=12715
tian xie 	填寫	c=3 d=0.0977834 t=12715
tiao 	挑	c=1 d=1.56938e-08 t=12715
tiao 	條	c=1 d=0.000549614 t=12715
tiao 	調	c=1 d=2.09159e-05 t=12715
tiao jian 	條件	c=6 d=0.258442 t=12715
tiao jiao 	調教	c=1 d=0.0118551 t=12715
tiao san 	跳傘	c=1 d=1 t=9307
tiao shi 	調試	c=1 d=0.927743 t=12715
tiao zheng wei 	調整爲	c=1 d=1 t=10069
tie 	貼	c=1 d=1 t=9832
tie ba 	貼吧	c=1 d=1 t=9708
ting 	婷	c=0 d=4.13136e-14 t=12715
ting 	挺	c=1 d=6.20596e-06 t=12715
ting 	聽	c=2 d=0.425424 t=12715
ting dun 	停頓	c=1 d=2.10243e-07 t=12715
ting guo 	聽過	c=1 d=0.149569 t=12715
ting hao 	挺好	c=1 d=0.927743 t=12715
ting le 	聽了	c=1 d=0.0098528 t=12715
ting shuo 	聽說	c=1 d=5.75951e-10 t=12715
ting zao 	挺早	c=1 d=0.191092 t=12715
tong 	通	c=1 d=1 t=10186
tong bu 	同步	c=7 d=0.0504067 t=12715
tong bu yi ci 	同步一次	c=1 d=1.39504e-05 t=12715
tong chang 	通常	c=1 d=0.0875977 t=12715
tong cheng 	統稱	c=1 d=0.0108891 t=12715
tong gong 	童工	c=1 d=1 t=10883
tong guo 	通過	c=15 d=0.00106437 t=12715
tong hang 	同行	c=1 d=0.0871609 t=12715
tong ji 	統計	c=1 d=1.3606e-05 t=12715
tong li 	同理	c=1 d=1 t=10924
tong shi 	同時	c=5 d=0.447477 t=12715
tong xiao 	通宵	c=1 d=1 t=9685
tong xue 	同學	c=5 d=0.512383 t=12715
tong yang 	同樣	c=1 d=1 t=10175
tong yi 	同一	c=1 d=1 t=10660
tong yi 	同意	c=1 d=2.99172e-10 t=12715
tong yi 	統一	c=5 d=0.0112769 t=12715
tong yi fan fu 	同義反復	c=1 d=2.41254e-08 t=12715
tong yi ge 	同一個	c=2 d=1.28436e-07 t=12715
tong yi hua 	統一化	c=1 d=0.396531 t=12715
tong yi jia 	同一家	c=1 d=1 t=11773
tong yu 	同於	c=1 d=1 t=9775
tong zhi 	通知	c=7 d=0.815301 t=12715
tong zhi shu 	通知書	c=2 d=1.67215e-11 t=12715
tong zhi wo 	通知我	c=1 d=1 t=12524
tou shang 	頭上	c=1 d=2.86749e-11 t=12715
tou shen 	投身	c=1 d=0.440432 t=12715
tou xiang 	頭像	c=2 d=0.00690852 t=12715
true 	⊤	c=19 d=0.041619 t=12715
tu 	圖	c=0 d=0.0202909 t=12715
tu jiang 	突降	c=1 d=0.00554422 t=12715
tu pian 	圖片	c=4 d=8.68578e-06 t=12715
tu ran 	突然	c=1 d=1 t=11827
tu shu guan 	圖書館	c=2 d=1.36117 t=12715
tu yang 	圖樣	c=0 d=0.0202909 t=12715
tu yang tu sen po 	圖樣圖森破	c=1 d=0.203926 t=12715
tui 	腿	c=1 d=1 t=8881
tui 	退	c=0 d=0.0302704 t=12715
tui che 	推車	c=1 d=0.292293 t=12715
tui dao 	推導	c=9 d=0.594604 t=12715
tui dao chu 	推導出	c=1 d=0.0547488 t=12715
tui dao chu 	退導出	c=1 d=0.304222 t=12715
tui jian 	推薦	c=3 d=0.00844437 t=12715
tui li 	推理	c=3 d=0.0137063 t=12715
tui zhe 	推着	c=1 d=0.287941 t=12715
tun 	屯	c=1 d=1 t=11150
tun bu 	臀部	c=1 d=2.01478e-06 t=12715
tuo bei 	駝背	c=2 d=1.98511 t=10389
tuo yun 	託運	c=1 d=2.03081e-11 t=12715
tuo yun xing li 	托運行李	c=1 d=2.39513e-11 t=12715
uol 	University of Liverpool	c=1 d=0.440432 t=12715
uol 	利物浦大学	c=3 d=1.24095 t=12715
uoo 	University of Oxford	c=1 d=0.40657 t=12715
vdash 	⊢	c=7 d=0.0193512 t=12715
vee 	∨	c=6 d=0.0224685 t=12715
wa 	哇	c=3 d=0.400517 t=12715
wai ceng 	外層	c=0 d=2.46086e-07 t=12715
wai guan 	外觀	c=3 d=1.39639 t=12715
wai guan she zhi 	外觀設置	c=1 d=0.442639 t=12715
wai mian 	外面	c=2 d=1.01291 t=10246
wan 	完	c=2 d=3.34085e-10 t=12715
wan 	晚	c=1 d=4.46313e-10 t=12715
wan 	玩	c=1 d=1 t=11205
wan an 	晚安	c=2 d=2.16124e-08 t=12715
wan cheng 	完成	c=4 d=0.0490458 t=12715
wan da 	萬達	c=2 d=0.677741 t=12715
wan dian 	晚點	c=0 d=5.55857e-05 t=12715
wan dian ba 	晚點把	c=1 d=0.000558643 t=12715
wan fan 	晚飯	c=1 d=1 t=12073
wan le 	完了	c=1 d=0.140858 t=12715
wan quan 	完全	c=1 d=0.0386741 t=12715
wan quan bu zhi dao 	完全不知道	c=1 d=0.38868 t=12715
wan shang 	晚上	c=9 d=1.29121 t=12715
wan shi 	萬事	c=1 d=0.173774 t=12715
wan wan 	萬萬	c=0 d=0.038868 t=12715
wan wan mei xiang dao 	萬萬沒想到	c=1 d=0.390628 t=12715
wan yi 	萬一	c=1 d=2.44942e-10 t=12715
wang 	忘	c=1 d=2.13457e-09 t=12715
wang 	王	c=4 d=0.0327997 t=12715
wang dao 	王道	c=1 d=0.946485 t=12715
wang fan 	往返	c=1 d=6.69273e-12 t=12715
wang ji 	忘記	c=2 d=0.647265 t=12715
wang jia cheng 	王加成	c=1 d=0.329559 t=12715
wang jia cheng 	王嘉诚	c=5 d=1.6416 t=12715
wang la 	忘啦	c=1 d=1.19803e-08 t=12715
wang lei 	王磊	c=0 d=4.13136e-14 t=12715
wang lei ting 	王磊婷	c=6 d=0.326283 t=12715
wang pan 	網盤	c=5 d=0.0144465 t=12715
wang shang 	網上	c=1 d=0.179964 t=12715
wang si lei 	王思雷	c=2 d=1.84366 t=12715
wang xu 	王旭	c=0 d=0.0970446 t=12715
wang xu xin 	王旭新	c=1 d=0.97531 t=12715
wang ye 	網頁	c=2 d=0.0335405 t=12715
wang zhan 	網站	c=5 d=1.24393 t=12715
wang zhi 	網址	c=1 d=1.45247e-09 t=12715
wei 	未	c=6 d=0.121532 t=12715
wei 	爲	c=53 d=1.37455 t=12715
wei bi 	未必	c=3 d=0.00161835 t=12715
wei bo 	微博	c=2 d=0.0179364 t=12715
wei hen me 	爲很麼	c=1 d=0.43605 t=12715
wei hun 	未婚	c=2 d=5.21302e-06 t=12715
wei le 	爲了	c=7 d=0.739807 t=12715
wei ming 	僞命	c=0 d=0.00158434 t=12715
wei ming ti 	僞命題	c=1 d=0.0159229 t=12715
wei sha 	爲啥	c=5 d=0.585669 t=12715
wei shen me 	爲什麼	c=8 d=1.04853 t=12715
wei sheng jian 	衛生間	c=5 d=2.10772e-07 t=12715
wei sheng jian li 	衛生間裏	c=1 d=1 t=9416
wei ye na 	維也納	c=1 d=0.00054485 t=12715
wei yi 	唯一	c=8 d=1.06294 t=12715
wei yu 	位於	c=1 d=1 t=10169
wei zhe 	圍着	c=2 d=2.25073e-07 t=12715
wei zhi 	位置	c=14 d=0.843665 t=12715
wei zi 	位子	c=1 d=4.72769e-11 t=12715
wen 	問	c=8 d=0.398969 t=12715
wen ben 	文本	c=2 d=0.00222215 t=12715
wen dang 	文檔	c=4 d=0.922167 t=12715
wen dao 	問道	c=2 d=0.0202556 t=12715
wen dao 	聞道	c=0 d=0.00100518 t=12715
wen gao 	文稿	c=1 d=0.0147723 t=12715
wen jian 	文件	c=15 d=2.38149 t=12715
wen jian jia 	文件夾	c=2 d=0.167821 t=12715
wen ke 	文科	c=0 d=3.60032e-13 t=12715
wen le 	吻了	c=1 d=1 t=12377
wen le 	問了	c=1 d=1 t=12378
wen ni 	問你	c=2 d=0.733447 t=12715
wen ti 	問題	c=15 d=1.06592 t=12715
wen ti shi 	問題是	c=1 d=0.00637737 t=12715
wen wen 	問問	c=3 d=0.369735 t=12715
wen wen ne 	問問呢	c=2 d=0.00600598 t=12715
wen wo 	問我	c=2 d=1.48173e-06 t=12715
wen xin 	溫馨	c=1 d=3.04428e-09 t=12715
wen xue 	文學	c=2 d=4.70556e-07 t=12715
wen zhang 	文章	c=1 d=0.000898306 t=12715
wen zhong 	文中	c=1 d=0.0102549 t=12715
windows 	Windows	c=1 d=0.337902 t=12715
wo 	我	c=231 d=10.7786 t=12715
wo 	臥	c=1 d=3.95845e-10 t=12715
wo ai 	我愛	c=0 d=0.0995012 t=12715
wo ai ri me 	我愛日麼	c=1 d=1 t=12715
wo cai 	我猜	c=2 d=0.00795498 t=12715
wo cao 	我曹	c=2 d=0.791084 t=12715
wo de 	我的	c=1 d=0.00726273 t=12715
wo gan jue 	我感覺	c=1 d=0.865022 t=12715
wo kan kan 	我看看	c=1 d=1 t=12460
wo kao 	我靠	c=1 d=1.32403e-08 t=12715
wo lai 	我來	c=1 d=1 t=11286
wo ma 	我媽	c=3 d=1.23064 t=12715
wo men 	我們	c=78 d=4.17297 t=12715
wo men de 	我們的	c=1 d=0.0409665 t=12715
wo men ne 	我們呢	c=2 d=0.00628242 t=12715
wo nan ti 	我難題	c=1 d=0.000804733 t=12715
wo neng 	我能	c=1 d=1 t=11640
wo qu 	我去	c=5 d=0.548812 t=12715
wo sheng 	我生	c=2 d=0.171187 t=12715
wo shi 	臥室	c=3 d=4.30816e-06 t=12715
wo yao 	我要	c=1 d=1 t=12111
wo ye 	我也	c=1 d=0.331211 t=12715
wo ye ai ni 	我也愛你	c=1 d=1 t=9186
wu 	五	c=0 d=0.1 t=9849
wu 	無	c=7 d=3.92771e-05 t=12715
wu bi 	五筆	c=0 d=0.0909373 t=12715
wu bi yong hu 	五筆用戶	c=1 d=0.913931 t=12715
wu dao 	誤導	c=1 d=2.1837e-12 t=12715
wu fa 	無法	c=3 d=3.73196e-05 t=12715
wu fan 	午飯	c=1 d=0.100007 t=12203
wu guan jin yao 	無關緊要	c=1 d=0.000689186 t=12715
wu qiong 	無窮	c=0 d=0.1 t=9025
wu qiong duo 	無窮多	c=1 d=1 t=9026
wu shu 	無數	c=1 d=1 t=8898
wu wu 	無誤	c=2 d=0.161259 t=12715
wu yi 	五一	c=1 d=0.25284 t=12715
xi 	溪	c=1 d=1 t=8890
xi 	系	c=0 d=5.04519e-12 t=12715
xi 	西	c=1 d=0.634448 t=12715
xi guan 	習慣	c=1 d=0.000410615 t=12715
xi huan 	喜歡	c=2 d=0.0144076 t=12715
xi jia 	西夾	c=0 d=0.0644036 t=12715
xi jia o li wu pu da xue 	西夾哦利物浦大學	c=1 d=0.647265 t=12715
xi jiao li wu pu 	西交利物浦	c=1 d=0.370006 t=12715
xi jiao li wu pu da xue 	西交利物浦大學	c=3 d=1.0239 t=12715
xi jie 	細節	c=3 d=0.00069979 t=12715
xi la 	希臘	c=4 d=0.752015 t=12715
xi la zi mu 	希臘字母	c=1 d=0.264478 t=12715
xi li 	犀利	c=1 d=2.61979e-07 t=12715
xi lie 	系列	c=1 d=0.00670434 t=12715
xi nao 	洗腦	c=2 d=0.29809 t=12715
xi nao le 	洗腦了	c=1 d=0.157238 t=12715
xi shou jian 	洗手間	c=1 d=1 t=10248
xi shou tai 	洗手檯	c=1 d=1 t=9352
xi tong 	系統	c=5 d=0.375748 t=12715
xi wang 	希望	c=2 d=0.234184 t=12715
xi ya tu 	西雅圖	c=1 d=0.246597 t=12715
xi yi fu 	洗衣服	c=2 d=0.186495 t=12715
xi yin 	吸引	c=1 d=9.78334e-08 t=12715
xi zao 	洗澡	c=6 d=0.00351752 t=12715
xia 	下	c=17 d=0.317245 t=12715
xia ci 	下次	c=2 d=3.48163e-08 t=12715
xia jie lun 	下結論	c=1 d=0.0335406 t=12715
xia ke 	下課	c=3 d=0.000555862 t=12715
xia ke 	俠客	c=1 d=1 t=9213
xia lai 	下來	c=5 d=0.156453 t=12715
xia lai de 	下來的	c=1 d=0.00196946 t=12715
xia le 	下了	c=1 d=4.89525e-09 t=12715
xia lou 	下樓	c=0 d=0.1 t=10236
xia mang 	瞎忙	c=1 d=6.92994e-10 t=12715
xia mian 	下面	c=7 d=0.174431 t=12715
xia mian de 	下面的	c=2 d=1.27363e-13 t=12715
xia qu 	下去	c=2 d=0.559898 t=12715
xia shou 	下手	c=1 d=1 t=11432
xia uol wo 	下利物浦大学我	c=1 d=1 t=12068
xia wu 	下午	c=12 d=0.956089 t=12715
xia zai 	下載	c=4 d=0.0342503 t=12715
xia zi 	瞎子	c=0 d=4.25573e-10 t=12715
xia zi a 	瞎子啊	c=1 d=4.27706e-09 t=12715
xian 	先	c=30 d=0.957605 t=12715
xian 	陷	c=1 d=2.80975e-07 t=12715
xian de 	鹹的	c=1 d=2.4796e-07 t=12715
xian qu 	先去	c=3 d=1.83231e-06 t=12715
xian rou 	鮮肉	c=1 d=2.44268e-07 t=12715
xian rou 	鹹肉	c=1 d=2.45493e-07 t=12715
xian shi 	顯示	c=5 d=0.00479587 t=12715
xian wei 	鹹味	c=2 d=5.15066e-07 t=12715
xian xi 	纖細	c=1 d=1.03936e-13 t=12715
xian zai 	現在	c=25 d=1.10752 t=12715
xian zi 	仙子	c=0 d=1.86952e-09 t=12715
xian zi a 	仙子啊	c=1 d=1.87889e-08 t=12715
xiang 	像	c=5 d=0.00406716 t=12715
xiang 	向	c=1 d=0.0761538 t=12715
xiang 	想	c=17 d=2.74544 t=12715
xiang 	相	c=1 d=0.00794669 t=12715
xiang 	箱	c=3 d=0.0826959 t=12715
xiang chi 	想吃	c=1 d=8.35697e-07 t=12715
xiang chu 	相處	c=1 d=4.37401e-08 t=12715
xiang dang yu 	相當於	c=1 d=0.790571 t=12715
xiang fa 	想法	c=1 d=1.26883e-07 t=12715
xiang fan 	相反	c=1 d=0.0368831 t=12715
xiang gang 	香港	c=11 d=0.883611 t=12715
xiang gang ren 	香港人	c=3 d=3.67448e-10 t=12715
xiang ge 	想個	c=1 d=0.26982 t=12715
xiang guan 	相關	c=4 d=0.319819 t=12715
xiang guan lian 	相關連	c=1 d=1.79157e-07 t=12715
xiang ji 	相機	c=1 d=2.8375e-05 t=12715
xiang ji tang lu 	想幾趟路	c=1 d=0.351692 t=12715
xiang jiao 	橡膠	c=1 d=8.54641e-06 t=12715
xiang jiao 	香蕉	c=3 d=2.77142e-06 t=12715
xiang kan 	想看	c=1 d=5.79035e-14 t=12715
xiang ku 	想哭	c=2 d=1.11248 t=11677
xiang mu 	項目	c=1 d=1 t=11994
xiang qi lai 	想起來	c=1 d=1.6169e-06 t=12715
xiang qin 	相親	c=1 d=1 t=8897
xiang shi 	像是	c=1 d=0.161218 t=12715
xiang shui 	香水	c=1 d=1 t=9600
xiang shuo 	想說	c=1 d=0.0437178 t=12715
xiang si 	相似	c=1 d=0.00211225 t=12715
xiang xi 	詳細	c=5 d=0.673679 t=12715
xiang xiang 	想想	c=0 d=1.47823e-11 t=12715
xiang xiang shi 	想想是	c=1 d=1.48565e-10 t=12715
xiang xin 	向心	c=1 d=1.41271e-06 t=12715
xiang yao 	想要	c=2 d=3.92719e-05 t=12715
xiang zi 	箱子	c=1 d=6.41151e-07 t=12715
xiao 	小	c=6 d=0.290835 t=12715
xiao chu 	消除	c=2 d=0.0293099 t=12715
xiao chuan 	哮喘	c=1 d=1 t=9190
xiao chuan 	小船	c=1 d=1 t=9191
xiao dong 	小東	c=1 d=1 t=10440
xiao hua 	笑話	c=2 d=1.99501 t=9894
xiao huo ban 	小夥伴	c=2 d=0.00245409 t=12715
xiao lang hao 	小狼毫	c=3 d=0.15259 t=12715
xiao nv sheng 	小女生	c=1 d=1 t=11609
xiao si 	笑死	c=1 d=6.87875e-11 t=12715
xiao xi 	消息	c=3 d=1.36562e-09 t=12715
xiao xie 	小寫	c=1 d=1 t=9036
xiao xie 	消協	c=1 d=1 t=9035
xie 	些	c=1 d=1 t=10264
xie 	寫	c=10 d=0.802632 t=12715
xie 	歇	c=1 d=0.786628 t=12715
xie cai 	歇菜	c=1 d=0.00400585 t=12715
xie cheng 	攜程	c=2 d=0.00491728 t=12715
xie chu 	寫出	c=1 d=0.00193046 t=12715
xie guo 	寫過	c=1 d=1.8105e-13 t=12715
xie tiao 	協調	c=1 d=1 t=10639
xie wan 	寫完	c=1 d=2.78322e-13 t=12715
xie xie 	謝謝	c=4 d=0.000112788 t=12715
xie yi pian 	寫一篇	c=1 d=0.00594622 t=12715
xie zhen 	寫真	c=3 d=2.04314e-05 t=12715
xin 	信	c=5 d=0.223555 t=12715
xin 	新	c=16 d=0.299923 t=12715
xin 	欣	c=4 d=0.960789 t=12715
xin hao 	信號	c=2 d=2.86202e-10 t=12715
xin la 	辛辣	c=1 d=2.56792e-07 t=12715
xin li 	心理	c=1 d=5.18453e-08 t=12715
xin li 	心裏	c=1 d=1.04404e-07 t=12715
xin lv 	心率	c=1 d=3.91773e-06 t=12715
xin shang 	欣賞	c=1 d=3.45797e-08 t=12715
xin tong 	新通	c=3 d=0.100761 t=12715
xin wen 	新聞	c=1 d=1.60081e-06 t=12715
xin xi 	信息	c=11 d=1.01728 t=12715
xin xi wang 	信息王	c=1 d=5.14799e-13 t=12715
xin xi ye 	信息頁	c=1 d=1.20134e-11 t=12715
xing 	性	c=2 d=0.421055 t=12715
xing 	行	c=4 d=0.438235 t=12715
xing cheng 	形成	c=1 d=1 t=9101
xing cheng 	行程	c=1 d=1 t=10478
xing chi 	星馳	c=2 d=5.80592e-08 t=12715
xing dong 	行動	c=2 d=1 t=12417
xing ge 	性格	c=1 d=1 t=11606
xing lai 	醒來	c=1 d=7.17678e-10 t=12715
xing li 	行李	c=7 d=0.786628 t=12715
xing qi 	星期	c=1 d=4.4639e-12 t=12715
xing shi 	形式	c=31 d=0.783053 t=12715
xing wen 	行文	c=1 d=0.000934966 t=12715
xing zhi 	性質	c=4 d=4.90439e-06 t=12715
xiu gai 	修改	c=1 d=0.00444934 t=12715
xiu xi 	休息	c=6 d=0.591591 t=12715
xiu xi hui 	休息會	c=1 d=0.00235786 t=12715
xiu zhi fu 	休止符	c=1 d=2.05052e-07 t=12715
xjtlu 	西交利物浦大学	c=2 d=0.691183 t=12715
xu eh seng 	需誒僧	c=1 d=7.45293e-13 t=12715
xu fei 	續費	c=6 d=2.99475e-05 t=12715
xu kai 	噓開	c=3 d=3.34247e-10 t=12715
xu kai 	徐鍇	c=3 d=0.336417 t=12715
xu meng xin 	徐萌欣	c=1 d=0.927743 t=12715
xu ni 	虛擬	c=0 d=2.27166e-07 t=12715
xu ni guo shi 	虛擬過時	c=1 d=2.28305e-06 t=12715
xu qiu 	需求	c=1 d=1 t=9506
xu rong 	虛榮	c=1 d=1.36765e-07 t=12715
xu shu 	敘述	c=1 d=1 t=9141
xu yao 	需要	c=7 d=0.637628 t=12715
xu zu 	續租	c=1 d=2.84582e-10 t=12715
xuan 	選	c=8 d=0.000484156 t=12715
xuan ge 	選個	c=1 d=1.38187e-11 t=12715
xuan gou 	選購	c=1 d=5.33045e-11 t=12715
xuan qi 	絃器	c=1 d=7.93427e-14 t=12715
xuan xiang 	選項	c=1 d=7.05168e-09 t=12715
xuan ze 	選擇	c=4 d=0.512005 t=12715
xue 	學	c=4 d=0.173774 t=12715
xue hong su 	血紅素	c=0 d=7.34196e-14 t=12715
xue hong su ne ge 	血紅素呢個	c=1 d=7.37876e-13 t=12715
xue nian 	學年	c=2 d=1.71353e-13 t=12715
xue qi 	學期	c=1 d=7.97404e-14 t=12715
